symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
STORJUSDT,2023-07-04 15:00:00,2023-07-04 19:00:00,0.4813,2725.29069767442,1331.3576489825587,-115.77496220930217,-0.08696007590280413,4.0,trail_stop,1
STORJUSDT,2023-07-05 07:00:00,2023-07-05 10:00:00,0.5713,958.6355742506839,555.8835311229569,-90.46225929920612,-0.1627359945642941,3.0,trail_stop,1
ONGUSDT,2023-07-11 17:00:00,2023-07-11 21:00:00,0.4173,2842.069138151528,1203.785383120892,-110.2169974945761,-0.09155867735229627,4.0,trail_stop,1
ZENUSDT,2023-07-27 08:00:00,2023-07-29 00:00:00,9.85,193.09417728258725,1930.5073109269863,-132.30612981835188,-0.06853438423645308,40.0,trail_stop,1
PROMUSDT,2023-09-03 16:00:00,2023-09-03 17:00:00,6.439,163.2390238937143,1066.8625159744006,-104.08723805049667,-0.09756387209408175,1.0,stop,1
STORJUSDT,2023-09-19 10:00:00,2023-09-20 02:00:00,0.42,3118.799183197961,1329.5440917972908,-111.58171656855862,-0.0839247959183673,16.0,trail_stop,1
SPELLUSDT,2023-09-19 09:00:00,2023-09-21 10:00:00,0.0005642,2616702.887122482,1498.4889254482218,-116.9191151684919,-0.0780246775153974,49.0,trail_stop,1
STORJUSDT,2023-09-29 22:00:00,2023-09-30 02:00:00,0.45,3845.9361714853694,1756.6313463259423,-123.35036238623317,-0.07021983448275866,4.0,trail_stop,1
STORJUSDT,2023-10-01 04:00:00,2023-10-03 13:00:00,0.475,4287.898753107825,2067.3031863421097,-132.2216388757995,-0.06395851355976127,57.0,trail_stop,1
MINAUSDT,2023-10-24 04:00:00,2023-10-24 06:00:00,0.6173,1578.3320988532334,988.9189706914324,-97.21565755786742,-0.09830497789914594,2.0,trail_stop,1
ZENUSDT,2023-10-24 00:00:00,2023-10-24 06:00:00,8.91,248.6205337830267,2248.4370903468694,-136.94119692085266,-0.060905060456784475,6.0,trail_stop,1
MINAUSDT,2023-10-24 07:00:00,2023-10-24 18:00:00,0.7809,780.8231275226296,618.8909519866578,-83.81434731704161,-0.1354266806583537,11.0,trail_stop,1
ZENUSDT,2023-10-26 07:00:00,2023-10-26 11:00:00,9.38,229.970995932307,2189.484860972715,-130.58030953999474,-0.059639740775363145,4.0,trail_stop,1
COTIUSDT,2023-11-01 20:00:00,2023-11-02 15:00:00,0.04806,41258.20539891894,2012.6123917441246,-126.13620121689821,-0.06267287319422142,19.0,trail_stop,1
SUPERUSDT,2023-11-05 17:00:00,2023-11-05 21:00:00,0.0897,23303.735563262537,2121.700256225019,-119.63286086644123,-0.0563853732474421,4.0,trail_stop,1
SUPERUSDT,2023-11-06 09:00:00,2023-11-07 15:00:00,0.0914,22537.26958144402,2090.805036340143,-124.68608608884682,-0.059635443727026796,30.0,trail_stop,1
COTIUSDT,2023-11-03 19:00:00,2023-11-07 17:00:00,0.04944,40609.41943939546,2037.845642539967,-125.98597961529819,-0.06182312192118217,94.0,trail_stop,1
SUPERUSDT,2023-11-08 18:00:00,2023-11-08 20:00:00,0.0951,20992.703224824494,2026.3521678310215,-98.79555237356675,-0.04875537132290095,2.0,trail_stop,1
COTIUSDT,2023-11-09 03:00:00,2023-11-09 16:00:00,0.05296,37220.555146251136,2000.768609553642,-104.86821121437862,-0.052413962670962745,13.0,trail_stop,1
DEXEUSDT,2023-11-10 06:00:00,2023-11-10 13:00:00,5.163,59.007182548739955,309.2238947516315,-67.15095434648396,-0.21715965514379013,7.0,trail_stop,1
ZENUSDT,2023-11-05 00:00:00,2023-11-21 22:00:00,9.52,219.6297940880492,2122.2387743140016,-110.78017987238226,-0.05219967762967254,406.0,trail_stop,1
SPELLUSDT,2023-11-24 15:00:00,2023-11-24 17:00:00,0.0006925,978585.3338045601,687.8353988145526,-77.75760134610918,-0.11304681538653032,2.0,trail_stop,1
SCRTUSDT,2023-11-26 15:00:00,2023-11-26 16:00:00,0.3944,4465.137229758702,1787.4658752680843,-111.8468181500496,-0.06257284108054639,1.0,stop,1
COTIUSDT,2023-11-26 22:00:00,2023-11-27 10:00:00,0.0573,24435.735187709077,1421.1701406495658,-99.45994444093049,-0.06998454414154165,12.0,trail_stop,1
GALAUSDT,2023-12-04 06:00:00,2023-12-04 11:00:00,0.02805,65104.95273000691,1853.586832937844,-105.14104386464447,-0.05672302046837541,5.0,trail_stop,1
STORJUSDT,2023-11-08 07:00:00,2023-12-11 02:00:00,0.5814,2098.8602544416904,1238.5815122113847,99.73995494220551,0.08052756638045411,787.0,trail_stop,1
GALAUSDT,2023-12-04 23:00:00,2023-12-18 09:00:00,0.02936,43048.929818236735,1282.8753281553818,-93.56576455739535,-0.07293441732325737,322.0,trail_stop,1
COTIUSDT,2023-12-14 03:00:00,2023-12-18 10:00:00,0.07039,14809.685003836064,1058.0905333313208,-87.20557761597946,-0.08241787906505417,103.0,trail_stop,1
STORJUSDT,2023-12-19 04:00:00,2023-12-19 08:00:00,1.128,838.1725627375743,959.6405305295033,-82.75981349392758,-0.0862404315585368,4.0,trail_stop,1
PROMUSDT,2023-12-20 17:00:00,2023-12-20 20:00:00,5.32,330.3895328238759,1784.0373993423652,-92.30001967404962,-0.05173659459609614,3.0,trail_stop,1
STORJUSDT,2023-12-21 04:00:00,2023-12-21 12:00:00,1.1399,1216.663681259127,1407.678054221288,-95.5729245231079,-0.06789402181593134,8.0,trail_stop,1
PROMUSDT,2023-12-21 10:00:00,2023-12-22 16:00:00,5.379,322.3274550736414,1759.8063715537335,-84.53481483142869,-0.048036429574233715,30.0,trail_stop,1
SCRTUSDT,2023-12-24 00:00:00,2023-12-24 07:00:00,0.5179,2059.4617094000364,1082.594147587753,-83.96369546919685,-0.07755786936063305,7.0,trail_stop,1
SCRTUSDT,2023-12-24 10:00:00,2023-12-24 20:00:00,0.5629,1226.4978234491305,700.7515591918082,-71.29765726079708,-0.10174455743348784,10.0,trail_stop,1
